id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
620,1747342606470,1328.0,-0.33,0.9499999999999998,1.57,-407.84,14.83,-238.04
621,1747342606480,1330.5,-0.33,0.95,1.57,-407.84,14.83,-238.04
622,1747342606490,1333.0,-0.15,0.96,1.09,-376.34,83.56,-189.03
623,1747342606500,1336.0,-0.15,0.96,1.09,-376.34,83.56,-189.03
624,1747342606510,1338.5,-0.15,0.96,1.09,-376.34,83.56,-189.03
625,1747342606520,1340.0,-0.15,0.96,1.09,-376.34,83.56,-189.03
626,1747342606530,1342.0,0.13,0.7600000000000001,0.69,-214.54,-99.49,-185.73
627,1747342606540,1344.5,0.13,0.76,0.69,-214.54,-99.49,-185.73
628,1747342606550,1347.0,0.13,0.7600000000000001,0.69,-214.54,-99.49,-185.73
629,1747342606560,1349.5,-0.06,0.885,0.565,-162.475,-84.475,-116.72999999999999
630,1747342606570,1352.0,-0.25,1.01,0.44,-110.41000000000001,-69.46,-47.73
631,1747342606580,1354.5,-0.25,1.01,0.44,-110.41,-69.46,-47.73
632,1747342606590,1357.0,-0.25,1.01,0.44,-110.41000000000001,-69.46,-47.73
633,1747342606600,1359.5,-0.13,1.15,0.04,-33.78,-28.414999999999996,-14.495
634,1747342606610,1362.0,-0.13,1.15,0.04,42.85,12.63,18.74
635,1747342606620,1364.5,-0.13,1.15,0.04,42.85,12.63,18.74
636,1747342606630,1367.0,-0.13,1.15,0.04,42.85,12.63,18.74
637,1747342606640,1369.5,0.1,0.89,-0.32,217.59,-51.88,49.93
638,1747342606650,1372.0,0.10000000000000002,0.89,-0.32,217.59,-51.88,49.93
639,1747342606660,1374.5,0.1,0.89,-0.32,217.59,-51.88,49.93
640,1747342606670,1376.5,0.1,0.89,-0.32,217.59,-51.88,49.93
641,1747342606680,1379.0,0.13,1.37,0.54,369.32,61.34,104.55
642,1747342606690,1382.0,0.13,1.37,0.54,369.32,61.34,104.55
643,1747342606700,1384.5,0.13,1.37,0.54,369.32,61.34,104.55
644,1747342606710,1387.0,0.04666666666666667,1.3166666666666667,0.8866666666666667,369.32,61.34,104.55
645,1747342606720,1389.5,-0.12,1.21,1.58,400.82,105.96,235.78
646,1747342606730,1392.0,-0.12,1.21,1.58,400.82,105.96,235.78
647,1747342606740,1395.0,-0.12,1.21,1.58,400.82,105.96,235.78
648,1747342606750,1397.5,-0.12,1.21,1.58,400.82,105.96,235.78
649,1747342606760,1400.0,-0.52,0.57,2.22,380.12999999999994,-23.01,186.16
650,1747342606770,1402.5,-0.52,0.57,2.22,380.13,-23.01,186.16
651,1747342606780,1405.0,-0.52,0.57,2.22,380.12999999999994,-23.01,186.16
652,1747342606790,1407.5,-0.44,0.375,2.045,349.03,-43.64,174.285
653,1747342606800,1409.5,-0.36,0.18,1.87,317.93,-64.27,162.41
654,1747342606810,1411.5,-0.36,0.18,1.87,317.93,-64.27,162.41
655,1747342606820,1414.0,-0.36000000000000004,0.18000000000000002,1.87,317.93,-64.27,162.41
656,1747342606830,1417.0,-0.54,-0.2133333333333333,2.19,301.0833333333333,-31.31,184.67
657,1747342606840,1419.5,-0.63,-0.41,2.35,292.66,-14.83,195.8
658,1747342606850,1422.0,-0.63,-0.41,2.35,292.66,-14.83,195.80000000000004
659,1747342606860,1424.5,-0.63,-0.41,2.35,292.66,-14.83,195.8
